id,name,totalUnits,residentsCount,lat,lng
475,261 Hudson St,169,22,40.7251629,-74.0079322
477,The Grand at Sky View Parc,471,76,40.7567556,-73.8372629
478,15 William St,302,129,40.7052538,-74.0103402
479,310 E 46th St,332,49,40.751918,-73.9698335
480,630 1st Ave,480,81,40.7451918,-73.9716642
481,75-25 153rd St,365,93,40.7255421,-73.8124525
482,25 Tudor City Pl,460,75,40.7486808,-73.9705383
483,1530 Story Ave,212,64,40.821335,-73.8781881
484,180 Myrtle Ave,222,71,40.6932104,-73.980749
485,7 W 21st,268,30,40.7407988,-73.991313
486,180 Broome St,254,94,40.7175826,-73.9865329
487,5700 Arlington Ave,504,49,40.9069228,-73.9062512
488,37 Wall St,386,147,40.70655,-74.0101357
489,415 E 37th St,413,46,40.745484,-73.9713332
490,300 E 39th St,248,35,40.7475904,-73.9733209
491,267 6th St,104,48,40.6722618,-73.9866985
495,215 E 96th St,265,52,40.7851883,-73.947968
496,301 E 79th St,544,37,40.7733045,-73.9543976
497,515 E 72nd St,356,74,40.7666839,-73.9527719
498,225 E 39th St,353,68,40.7485444,-73.9746544
499,1 West End Ave,248,44,40.7719497,-73.9907001
500,20 Pine St,415,78,40.7075665,-74.0096766
502,180 Riverside Blvd,423,76,40.77508,-73.990303
503,155 Washington St,299,58,40.711899,-74.0394678
504,400 E 56th St,703,75,40.7571111,-73.9630783
505,150 W 51st St,412,78,40.761427,-73.982584
506,2935 John F Kennedy Blvd,220,42,40.7340364,-74.0641143
507,110 River Dr,370,159,40.7302351,-74.0316769
509,160 Riverside Blvd,391,77,40.7775972,-73.9884665
510,4-74 48th Ave,452,25,40.7442003,-73.9568378
511,350 W 42nd St,540,199,40.7578531,-73.9923304
512,61-55 Junction Blvd,304,68,40.7322487,-73.863388
513,100 Riverside Blvd,274,27,40.77577,-73.9895914
514,15 Central Park W,201,13,40.7697189,-73.9810746
515,165 W 66th St,337,36,40.7747695,-73.9839605
516,120 Riverside Blvd,250,34,40.7763767,-73.9891093
517,303 W 66th St,420,64,40.776554,-73.9876401
518,170 W End Ave,476,58,40.7767637,-73.9843469
519,776 6th Ave,338,35,40.7449785,-73.9910454
524,301 Sullivan Pl,78,52,40.6650885,-73.9513202
530,275 S 5th St,174,73,40.709305,-73.9578096
534,6040 Kennedy Blvd,414,28,40.7920496,-74.0209246
549,105 W 29th St,307,28,40.746928,-73.9904131
553,65 Ainslie St,47,10,40.712675,-73.951836
554,211 McGuiness blvd,175,75,40.7295974,-73.9513822
570,340 Evergreen Ave.,166,31,40.6945771,-73.9248108
572,175 W 87TH St,248,40,40.7883728,-73.9740267
573,245 E 24th St,163,17,40.7388152,-73.9806852
574,567 Ocean Ave,108,146,40.649066,-73.9604707
575,4310 Crescent St,709,317,40.7486055,-73.9426476
576,311 E 50th St,111,22,40.7547587,-73.9678116
583,330 E 39th St,495,168,40.7471875,-73.9722819
584,120 W 21st St,207,63,40.7419438,-73.994993
588,343 4th Ave,113,27,40.6727954,-73.9862627
589,900 Ave at Port Imperial,318,233,40.7747576,-74.011972
591,167 Sands St,110,16,40.7002277,-73.9840474
595,411 E 53rd St,191,19,40.7557937,-73.9642805
599,15 Broad St,387,84,40.7067114,-74.010457
602,15 Dunham Place,154,43,40.7113186,-73.9677578
603,147-36 94th Ave,376,142,40.6993588,-73.8053755
604,88 Leonard St,344,83,40.7170355,-74.0047722
605,44-28 Purves St,262,67,40.7464881,-73.9411715
606,205 E 92nd St,230,53,40.7824768,-73.9504487
608,Waterline Square,231,324,40.7728707,-73.9926884
609,560 W 43rd St,418,152,40.7611686,-73.9977459
610,1 Blue Slip,306,102,40.7366122,-73.959184
611,460 W 42nd St,166,27,40.7590258,-73.9944819
612,50 W St,204,25,40.7078252,-74.0150476
613,130 William St,239,180,40.7091434,-74.0064461
614,158 E 126th St,238,69,40.8046923,-73.9363473
617,303 E 57th St,382,79,40.7595774,-73.964779
618,75 Wall St,318,143,40.7051691,-74.008024
619,458 Neptune Ave,375,15,40.5794182,-73.9709078
620,2025 Broadway,280,64,40.7770746,-73.9824749
621,229 Chrystie St,340,67,40.7233886,-73.991498
622,800 Empire Blvd,35,25,40.6634916,-73.9354769
624,410 W 53rd st,217,61,40.7656143,-73.9885704
625,305 W 50th St,272,67,40.7626916,-73.9861736
626,505 W 54th St,176,10,40.7675735,-73.9901251
627,252 7th Ave,300,28,40.7453304,-73.9954677
628,300 E 54th St,352,21,40.7570928,-73.9663495
631,47-05 Center Blvd,394,132,40.7446285,-73.9576437
632,508 E 78th St,96,29,40.7700662,-73.9500865
633,250 Mercer St,274,23,40.7285839,-73.9951065
634,225 E 57th St,242,31,40.7600656,-73.9664566
635,260 W 52nd St,221,36,40.7632274,-73.9849156
636,777 6th Ave,293,39,40.7452317,-73.9915041
637,11 Riverside Dr,608,29,40.7809028,-73.9846443
638,99 John St,431,134,40.7083595,-74.0060041
639,2 River Terrace,233,44,40.7153643,-74.01597
640,6801 Shore Road,106,28,40.6393755,-74.0352909
641,110 1st St,441,399,40.7216522,-74.0379114
643,235 W 102nd,315,74,40.7988135,-73.9694733
644,200 E 66th,566,75,40.7652054,-73.9624491
645,200 E 69th,223,30,40.7673447,-73.9613766
646,2373 Broadway,356,91,40.7889005,-73.9765317
647,30 W 63rd,580,50,40.7707681,-73.981731
648,333 E 43rd,207,38,40.7499746,-73.9698943
649,245 E 93rd St,280,34,40.7828013,-73.9491505
650,568 Grand St,137,20,40.7142822,-73.9792183
651,15 W 72nd St,485,51,40.7768638,-73.977033
652,77 W 24th St,285,33,40.7435617,-73.9918929
653,422 E 72nd St,201,35,40.7669211,-73.9550344
654,200 E 57th St,208,29,40.7599166,-73.9672969
655,300 Central Park W,155,14,40.7882884,-73.9674607
656,1 W St,443,292,40.705242,-74.0161235
657,255 W 94th St,240,68,40.7936669,-73.9731638
658,240 E 27th St,321,30,40.7402195,-73.9795651
659,71 Broadway,240,41,40.7073708,-74.012229
660,388 Bridge St,378,58,40.6916068,-73.9856659
662,212 W 91st St,384,57,40.7897809,-73.9701105
663,167 E 61st St,170,10,40.7631868,-73.9657847
664,100 United Nations Pl,222,18,40.753137,-73.9678146
665,150 W 56th St,354,54,40.7642486,-73.9797499
666,245 E 54th St,432,50,40.7577737,-73.9667949
667,380 Rector Pl,240,42,40.7091188,-74.0179251
668,345 E 93rd St,310,31,40.7816977,-73.9466133
669,20 W 64th St,661,147,40.7716812,-73.9815796
670,790 Riverside Dr,180,17,40.8345592,-73.9470496
671,43-70 Kissena Blvd,320,29,40.7535229,-73.8235317
672,40 W 116th St,159,20,40.8011392,-73.9481133
673,55 W 25th St,400,64,40.7440877,-73.9913408
